mbti,popavg,popavgm,popavgf
ESTJ,0.129,0.16,0.1
ESFJ,0.119,0.07,0.17
ISTJ,0.084,0.105,0.065
ISFJ,0.069,0.04,0.1
ESTP,0.099,0.125,0.075
ESFP,0.109,0.08,0.14
ISTP,0.059,0.085,0.035
ISFP,0.059,0.05,0.07
ENTJ,0.04,0.055,0.025
ENTP,0.045,0.06,0.03
INTJ,0.015,0.025,0.005
INTP,0.025,0.04,0.01
ENFJ,0.04,0.025,0.055
ENFP,0.069,0.06,0.08
INFJ,0.01,0.005,0.015
INFP,0.03,0.015,0.025
